,,,,Term-VI Time Table (PGP 2024-26 batch) for AY 2025-26,,,,,,,,,,Single Section
,,,Slot 1,Slot 2,Slot3,Break,Slot4,Slot 5,Slot 6,Slot7,Slot 8,Slot 9,,Last Session
"Day, Date",Classroom No.,,9:00 am - 10:15 am,10:30 am - 11:45 am,12 noon - 1:15 pm,Lunch,2:30 pm - 3:45 pm,4:00 pm - 5:15 pm,5:30 pm - 6:45 pm,7:00 pm - 8:15 pm,8:45 pm - 10:00 pm,10:15 pm - 11:30 pm,,Sister section attd. Allowed
01/12/2026,F-203,,BF A 5,BF B 5,BDG 7,,CLTC 3,IBSCG A 3,IBSCG B 3,MSM 10,,,,
01/12/2026,F-103,,,MarkA 5,,,,,AO A 8,AO B 8,,,,
01/12/2026,SRC-201,,,,,,,,,,,,,
01/12/2026,G103,,,,,,,,,,,,,
01/13/2026,F-201,,PBM 5,AAHR A 2,AAHR B 2,Quiz-Digital,Genplay 1,EBS A 1,EBS B 1,,,,,
01/13/2026,F-203,,LabE 1,,EcoP 8,,CIED A 7,CIED B 7,,,,,,
01/13/2026,F-103,,,DPM B 4,DPM A 4,,,,,,,,,
01/13/2026,SRC-201,,,,,,,,,,,,,
01/13/2026,G103,,,,,,,,,,,,,
01/14/2026,F-201,,,AAHR A 3,AAHR B 3,Quiz-BF,IBSCG A 4,IBSCG B 4,HBAFL 4,BV 4,MOSE 6,,,
01/14/2026,F-203,,AO A 9,AO B 9,CLTC 4,,MSM 11,,,,,,,
01/14/2026,F-103,,,,,,,,,,,,,
01/14/2026,SRC-201,,,,,,,,,,,,,
01/14/2026,G103,,,,,,,,,,,,,
01/15/2026,F-201,,MOSE 7,LabE 2,BDG 8,,AAHR A 4,AAHR B 4,CIED A 8,CIED B 8,,,,
01/15/2026,F-203,,,PBEI A 3,PBEI B 3,,ETC 9,MIT A 1,MIT B 1,Genplay 2,,,,
01/15/2026,F-103,,PGP-I activity,,,,EBS A 2,EBS B 2,ConD 5,MOSE 8,,,,
01/15/2026,SRC-201,,,,,,,,,,,,,
01/15/2026,G103,,,,,,,,,,,,,
01/16/2026,F-201,,MOSE 9,AAHR A 5,AAHR B 5,,IBSCG A 5,IBSCG B 5,,,EMBI A 1,EMBI B 1,,
01/16/2026,F-203,,,BF A 6,BF B 6,,EIM A 9,EIM B 9,AO A 10,AO B 10,BV 5,MOSE 10,,
01/16/2026,F-103,,,,,,,,,,,,,
01/16/2026,SRC-201,,,,,,,,,,,,,
01/16/2026,G103,,,,,,,,,,,,,
